dim,kary,level,vertices,edges,operator_position,algorithm,treewidth,time
1,2,9,122,205,0-103,meiji-e,9,11.478
1,2,10,77,129,64,meiji-e,8,1.649
1,2,8,77,130,170,meiji-e,8,2.753
1,2,10,128,214,0-481,meiji-e,9,6.987
1,2,9,79,133,169,meiji-e,8,2.372
1,2,10,144,242,0-274,meiji-e,9,12.931
1,2,9,122,205,0-91,meiji-e,9,11.786
1,2,10,97,164,122,meiji-e,8,3.221
1,2,6,86,144,0-39,meiji-e,8,2.101
1,2,10,138,232,0-214,meiji-e,9,12.221
1,2,10,93,157,373,meiji-e,8,3.778
1,2,10,81,136,225,meiji-e,8,2.018
1,2,10,97,164,867,meiji-e,8,3.322
1,2,10,128,215,0-109,meiji-e,9,11.776
1,2,10,140,235,0-436,meiji-e,9,10.152
1,2,9,134,225,0-431,meiji-e,8,3.253
1,2,8,77,130,158,meiji-e,8,2.67
1,2,8,118,198,0-167,meiji-e,8,2.97
1,2,10,150,252,0-1011,meiji-e,8,4.796
1,2,10,97,164,451,meiji-e,8,3.256
1,2,6,57,96,14,meiji-e,8,2.051
1,2,10,97,164,10,meiji-e,8,3.21
1,2,10,150,252,0-747,meiji-e,8,4.637
1,2,10,93,157,181,meiji-e,8,2.634
1,2,8,73,123,61,meiji-e,8,2.258
1,2,10,93,157,85,meiji-e,8,3.348
1,2,6,57,96,7,meiji-e,8,1.996
1,2,9,87,147,10,meiji-e,8,2.871
1,2,8,77,130,139,meiji-e,8,2.495
1,2,9,87,147,262,meiji-e,8,3.126
1,2,10,93,157,1012,meiji-e,8,3.121
1,2,8,112,188,0-75,meiji-e,9,9.846
1,2,9,87,147,419,meiji-e,8,2.903
1,2,9,130,218,0-429,meiji-e,8,3.584
1,2,6,70,117,0-12,meiji-e,9,3.081
1,2,6,62,104,0-2,meiji-e,8,2.25
1,2,8,77,130,135,meiji-e,8,2.611
1,2,10,150,252,0-926,meiji-e,8,3.831
1,2,10,150,252,0-867,meiji-e,8,3.756
1,2,7,96,161,0-58,meiji-e,9,6.562
1,2,9,100,167,0-32,meiji-e,8,2.195
1,2,9,87,147,278,meiji-e,8,3.288
1,2,9,87,147,334,meiji-e,8,2.735
1,2,10,97,164,727,meiji-e,8,3.032
1,2,10,144,242,0-486,meiji-e,9,11.131
1,2,10,150,252,0-590,meiji-e,8,3.8
1,2,5,70,117,0-31,meiji-e,8,1.994
1,2,10,97,164,927,meiji-e,8,3.85
1,2,10,144,242,0-502,meiji-e,9,13.824
1,2,10,146,245,0-901,meiji-e,8,4.102
1,2,10,85,143,912,meiji-e,8,2.269
1,2,10,150,252,0-526,meiji-e,8,4.596
1,2,9,134,225,0-467,meiji-e,8,3.535
1,2,8,118,198,0-235,meiji-e,8,2.837
1,2,10,93,157,516,meiji-e,8,2.752
1,2,10,97,164,138,meiji-e,8,3.897
1,2,10,97,164,150,meiji-e,8,3.475
1,2,9,87,147,339,meiji-e,8,3.265
1,2,9,134,225,0-415,meiji-e,8,3.512
1,2,10,89,150,184,meiji-e,8,2.502
1,2,10,97,164,327,meiji-e,8,3.194
1,2,10,89,150,360,meiji-e,8,2.581
1,2,7,96,161,0-63,meiji-e,9,6.373
1,2,10,97,164,951,meiji-e,8,3.995
1,2,10,97,164,502,meiji-e,8,3.275
1,2,10,138,232,0-151,meiji-e,9,14.18
1,2,9,79,133,120,meiji-e,8,2.342
1,2,10,146,245,0-732,meiji-e,8,3.763
1,2,10,97,164,223,meiji-e,8,4.129
1,2,10,85,143,433,meiji-e,8,2.353
1,2,10,97,164,746,meiji-e,8,4.064
1,2,8,77,130,59,meiji-e,8,2.63
1,2,10,97,164,31,meiji-e,8,4.23
1,2,10,144,242,0-459,meiji-e,9,15.27
1,2,10,89,150,216,meiji-e,8,2.32
1,2,10,97,164,778,meiji-e,8,3.094
1,2,10,89,150,520,meiji-e,8,2.574
1,2,9,87,147,462,meiji-e,8,3.042
1,2,9,71,119,288,meiji-e,8,1.738
1,2,9,134,225,0-503,meiji-e,8,3.404
1,2,10,97,164,75,meiji-e,8,3.09
1,2,10,138,232,0-195,meiji-e,9,15.501
1,2,8,69,116,169,meiji-e,8,2.427
1,2,9,87,147,367,meiji-e,8,3.397
1,2,10,93,157,29,meiji-e,8,3.084
1,2,9,83,140,204,meiji-e,8,2.775
1,2,7,55,92,16,meiji-e,8,1.534
1,2,10,93,157,964,meiji-e,8,3.264
1,2,10,146,245,0-533,meiji-e,8,3.977
1,2,10,140,235,0-260,meiji-e,9,10.394
1,2,10,150,252,0-662,meiji-e,8,5.205
1,2,10,93,157,604,meiji-e,8,3.233
1,2,9,87,147,250,meiji-e,8,3.23
1,2,9,87,147,494,meiji-e,8,2.806
1,2,7,67,113,115,meiji-e,8,2.147
1,2,10,97,164,618,meiji-e,8,3.702
1,2,9,79,133,89,meiji-e,8,2.181
1,2,10,146,245,0-764,meiji-e,8,3.969
1,2,10,126,211,0-240,meiji-e,9,6.828
1,2,10,132,221,0-273,meiji-e,9,6.104
1,2,8,118,198,0-247,meiji-e,8,3.401
1,2,9,79,133,185,meiji-e,8,2.395
1,2,8,118,198,0-238,meiji-e,8,3.216
1,2,8,114,191,0-132,meiji-e,8,2.962
1,2,9,87,147,395,meiji-e,8,3.197
1,2,8,114,191,0-148,meiji-e,8,2.849
1,2,8,77,130,110,meiji-e,8,2.608
1,2,6,76,127,0-28,meiji-e,9,3.95
1,2,10,118,198,0-56,meiji-e,9,9.826
1,2,10,150,252,0-950,meiji-e,8,4.193
1,2,9,134,225,0-427,meiji-e,8,3.342
1,2,8,73,123,197,meiji-e,8,2.004
1,2,10,93,157,84,meiji-e,8,3.712
1,2,6,86,144,0-34,meiji-e,8,2.383
1,2,7,67,113,23,meiji-e,8,2.071
1,2,8,77,130,19,meiji-e,8,2.465
1,2,10,116,194,0-96,meiji-e,9,5.749
1,2,10,134,225,0-140,meiji-e,9,11.234
1,2,10,132,222,0-126,meiji-e,9,13.178
1,2,8,77,130,183,meiji-e,8,2.837
1,2,10,144,242,0-499,meiji-e,9,13.447
1,2,8,118,198,0-223,meiji-e,8,3.079
1,2,6,80,134,0-19,meiji-e,9,4.553
1,2,10,97,164,723,meiji-e,8,3.288
1,2,10,132,222,0-67,meiji-e,9,15.161
1,2,9,118,197,0-289,meiji-e,8,2.412
1,2,5,47,79,26,meiji-e,8,1.837
1,2,9,134,225,0-270,meiji-e,8,3.342
1,2,10,124,208,0-88,meiji-e,9,8.651
1,2,8,106,178,0-59,meiji-e,9,8.332
1,2,10,134,225,0-204,meiji-e,9,10.24
1,2,10,97,164,586,meiji-e,8,3.39
1,2,10,120,201,0-80,meiji-e,9,6.504
1,2,8,110,184,0-216,meiji-e,8,1.98
1,2,9,83,140,132,meiji-e,8,2.834
1,2,6,66,110,0-8,meiji-e,8,1.781
1,2,9,112,187,0-160,meiji-e,9,4.073
1,2,6,57,96,2,meiji-e,8,1.718
1,2,10,97,164,214,meiji-e,8,3.661
1,2,9,83,140,124,meiji-e,8,2.769
1,2,5,47,79,15,meiji-e,8,1.697
1,2,10,89,150,105,meiji-e,8,2.811
1,2,7,67,113,110,meiji-e,8,2.202
1,2,10,93,157,901,meiji-e,8,3.012
1,2,9,87,147,147,meiji-e,8,3.044
1,2,10,138,232,0-255,meiji-e,9,13.92
1,2,10,89,150,1016,meiji-e,8,2.61
1,2,7,67,113,62,meiji-e,8,2.14
1,2,10,144,242,0-334,meiji-e,9,13.322
1,2,10,85,143,977,meiji-e,8,2.405
1,2,10,128,215,0-117,meiji-e,9,10.76
1,2,10,142,238,0-521,meiji-e,8,3.583
1,2,10,126,212,0-42,meiji-e,9,13.621
1,2,6,78,130,0-56,meiji-e,8,1.79
1,2,10,144,242,0-322,meiji-e,9,12.258
1,2,10,130,218,0-184,meiji-e,9,9.129
1,2,10,116,195,0-28,meiji-e,9,10.399
1,2,9,134,225,0-295,meiji-e,8,3.557
1,2,9,87,147,247,meiji-e,8,2.782
1,2,10,150,252,0-959,meiji-e,8,5.436
1,2,9,118,198,0-85,meiji-e,9,8.647
1,2,9,134,225,0-355,meiji-e,8,3.986
