Filename,NumberOfQubits,CircuitCompileTime(s),TotalRunTime(s)
chem_qasm/C2/C2_sto-3g_JW_1e-12_uccsd.qasm,16,6.3340,14.2320
chem_qasm/C2/C2_sto-3g_JW_ref.qasm,16,6.4060,14.4140
chem_qasm/F2/F2_sto-3g_BK_0.001_uccsd.qasm,16,0.2760,0.8060
chem_qasm/F2/F2_sto-3g_BK_1e-05_uccsd.qasm,16,0.2800,0.8140
chem_qasm/F2/F2_sto-3g_BK_1e-07_uccsd.qasm,16,0.2820,0.8150
chem_qasm/F2/F2_sto-3g_BK_1e-09_uccsd.qasm,16,0.2750,0.8110
chem_qasm/F2/F2_sto-3g_BK_1e-12_uccsd.qasm,16,0.2770,0.8120
chem_qasm/F2/F2_sto-3g_BK_ref.qasm,16,0.2900,0.8290
chem_qasm/F2/F2_sto-3g_JW_0.001_uccsd.qasm,16,0.2400,0.6110
chem_qasm/F2/F2_sto-3g_JW_1e-05_uccsd.qasm,16,0.2410,0.6150
chem_qasm/F2/F2_sto-3g_JW_1e-07_uccsd.qasm,16,0.2500,0.6180
chem_qasm/F2/F2_sto-3g_JW_1e-09_uccsd.qasm,16,0.2440,0.6160
chem_qasm/F2/F2_sto-3g_JW_1e-12_uccsd.qasm,16,0.2420,0.6180
chem_qasm/F2/F2_sto-3g_JW_ref.qasm,16,0.2480,0.6260
chem_qasm/N2_1.04/N2_1.04_sto-3g_BK_0.001_uccsd.qasm,16,1.7870,3.2030
chem_qasm/N2_1.04/N2_1.04_sto-3g_BK_1e-05_uccsd.qasm,16,2.5060,4.4320
chem_qasm/N2_1.04/N2_1.04_sto-3g_BK_1e-07_uccsd.qasm,16,2.4830,4.4250
chem_qasm/N2_1.04/N2_1.04_sto-3g_BK_1e-09_uccsd.qasm,16,2.5040,4.4460
chem_qasm/N2_1.04/N2_1.04_sto-3g_BK_1e-12_uccsd.qasm,16,2.4990,4.4290
chem_qasm/N2_1.04/N2_1.04_sto-3g_BK_ref.qasm,16,2.5200,4.4400
chem_qasm/N2_1.04/N2_1.04_sto-3g_JW_0.001_uccsd.qasm,16,1.5320,3.4520
chem_qasm/N2_1.04/N2_1.04_sto-3g_JW_1e-05_uccsd.qasm,16,2.3750,6.8940
chem_qasm/N2_1.04/N2_1.04_sto-3g_JW_1e-07_uccsd.qasm,16,2.3700,6.8950
chem_qasm/N2_1.04/N2_1.04_sto-3g_JW_1e-09_uccsd.qasm,16,2.3540,6.9170
chem_qasm/N2_1.04/N2_1.04_sto-3g_JW_1e-12_uccsd.qasm,16,2.3970,6.9260
chem_qasm/N2_1.04/N2_1.04_sto-3g_JW_ref.qasm,16,2.4070,6.9840
chem_qasm/B2/B2_sto-3g_BK_0.001_uccsd.qasm,16,2.6640,5.2860
chem_qasm/B2/B2_sto-3g_BK_1e-05_uccsd.qasm,16,2.7040,5.5000
chem_qasm/B2/B2_sto-3g_BK_1e-07_uccsd.qasm,16,2.7590,5.5800
chem_qasm/B2/B2_sto-3g_BK_1e-09_uccsd.qasm,16,2.7390,5.5450
